"name","country","pop"
"Mexico City","Mexico","12294193"
"New York City","United States","8175133"
"Los Angeles","United States","3971883"
"Chicago","United States","2720546"
"Toronto","Canada","2600000"
"Brooklyn","United States","2300664"
"Houston","United States","2296224"
"Queens","United States","2272771"
"Santo Domingo","Dominican Republic","2201941"
"Havana","Cuba","2163824"
"Iztapalapa","Mexico","1815786"
"Ecatepec de Morelos","Mexico","1655015"
"Montreal","Canada","1600000"
"Philadelphia","United States","1567442"
"Phoenix","United States","1563025"
"Guadalajara","Mexico","1495182"
"Manhattan","United States","1487536"
"San Antonio","United States","1469845"
"Puebla","Mexico","1434062"
"San Diego","United States","1394928"
"The Bronx","United States","1385108"
"Juarez","Mexico","1321004"
"Tijuana","Mexico","1300983"
"Dallas","United States","1300092"
"Leon de los Aldama","Mexico","1238962"
"Port-au-Prince","Haiti","1234742"
"Santiago de los Caballeros","Dominican Republic","1200000"
"Gustavo Adolfo Madero","Mexico","1185772"
"Zapopan","Mexico","1142483"
"Monterrey","Mexico","1135512"
"Ciudad Nezahualcoyotl","Mexico","1104585"
"San Jose","United States","1026908"
"Calgary","Canada","1019942"
"Guatemala City","Guatemala","994938"
"Managua","Nicaragua","973087"
"Kingston","Jamaica","937700"
"Austin","United States","931830"
"Jacksonville","United States","868031"
"San Francisco","United States","864816"
"Tegucigalpa","Honduras","850848"
"Columbus","United States","850106"
"Fort Worth","United States","833319"
"Indianapolis","United States","829718"
"Charlotte","United States","827097"
"Ottawa","Canada","812129"
"Chihuahua","Mexico","809232"
"Naucalpan de Juarez","Mexico","792211"
"Merida","Mexico","777615"
"Alvaro Obregon","Mexico","726664"
"San Luis Potosi","Mexico","722772"
"Aguascalientes","Mexico","722250"
"Hermosillo","Mexico","715061"
"Edmonton","Canada","712391"
"Saltillo","Mexico","709671"
"Santo Domingo Oeste","Dominican Republic","701269"
"Santo Domingo Este","Dominican Republic","700000"
"Mexicali","Mexico","689775"
"Seattle","United States","684451"
"Denver","United States","682545"
"El Paso","United States","681124"
"Detroit","United States","677116"
"Culiacan","Mexico","675773"
"Guadalupe","Mexico","673616"
"Acapulco de Juarez","Mexico","673479"
"Mississauga","Canada","668549"
"Boston","United States","667137"
"Memphis","United States","655770"
